Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Boiling_Point,Valence,Electronegativity,ElectronAffinity,Block,Group,Period,Electron_Configuration
Hydrogen,H,1,1.00794,0.0899,14.01,20.28,Gas,20.28,1,2.2,72.8,s,1,1,1s1
Helium,He,2,4.002602,0.1785,,4.22,Gas,4.22,0,,0,p,18,1,[Xe]4f56s2
Lithium,Li,3,6.941,535,453.69,1615.15,Solid,1615,1,0.98,59.6,s,1,2,[He]2s2
Beryllium,Be,4,9.012182,1848,1560.15,2743.15,Solid,2743,2,1.57,0,s,2,2,[Xe]4f75d16s2
Boron,B,5,10.811,2460,2348.15,4273.15,Solid,4273,3,2.04,26.7,p,13,2,[He]2s22p3
Carbon,C,6,12.0107,2260,3823.15,4300.15,Solid,4300,4,2.55,153.9,p,14,2,[Xe]4f116s2
Nitrogen,N,7,14.0067,1.251,63.05,77.36,Gas,77.36,3,3.04,7,p,15,2,[He]2s22p6
Oxygen,O,8,15.9994,1.429,54.85,90.25,Gas,90.2,2,3.44,141,p,16,2,[Xe]4f146s2
Fluorine,F,9,18.9984032,1.696,53.55,85.03,Gas,85.03,1,3.98,328,p,17,2,[Ne]3s23p1
Neon,Ne,10,20.1797,0.9,24.56,27.07,Gas,27.07,0,,0,p,18,2,[Xe]4f145d36s2
Sodium,Na,11,22.98977,968,370.87,1156.15,Solid,1156,1,0.93,52.8,s,1,3,[Ne]3s23p4
Magnesium,Mg,12,24.305,1738,923.15,1363.15,Solid,1363,2,1.31,0,s,2,3,[Xe]4f145d66s2
Aluminum,Al,13,26.981538,2700,933.47,2792.15,Solid,2792,3,1.61,42.5,p,13,3,[Ar]4s1
Silicon,Si,14,28.0855,2330,1687.15,3173.15,Solid,3173,4,1.9,133.6,p,14,3,[Xe]4f145d106s1
Phosphorus,P,15,30.973761,1823,317.35,553.65,Solid,553.6,5,2.19,72,p,15,3,[Ar]3d24s2
Sulfur,S,16,32.065,1960,388.36,717.87,Solid,717.87,6,2.58,200,p,16,3,[Xe]4f145d106s26p2
Chlorine,Cl,17,35.453,3.214,171.65,239.11,Gas,239.11,5,3.16,349,p,17,3,[Ar]3d54s2
Argon,Ar,18,39.948,1.784,83.85,87.35,Gas,87.3,0,,0,p,18,3,[Xe]4f145d106s26p5
Potassium,K,19,39.0983,856,336.53,1032.15,Solid,1032,1,0.82,48.4,s,1,4,[Ar]3d84s2
Calcium,Ca,20,40.078,1550,1115.15,1757.15,Solid,1757,2,1,2.37,s,2,4,[Rn]7s2
Scandium,Sc,21,44.95591,2985,1814.15,3103.15,Solid,3103,3,1.36,18.1,d,3,4,[Ar]3d104s24p1
Titanium,Ti,22,47.867,4507,1941.15,3560.15,Solid,3560,4,1.54,7.6,d,4,4,[Rn]5f26d17s2
Vanadium,V,23,50.9415,6110,2183.15,3680.15,Solid,3680,5,1.63,50.6,d,5,4,[Ar]3d104s24p4
Chromium,Cr,24,51.9961,7140,2180.15,2944.15,Solid,2944,6,1.66,64.3,d,6,4,[Rn]5f67s2
Manganese,Mn,25,54.938049,7470,1519.15,2334.15,Solid,2334,4,1.55,0,d,7,4,[Kr]5s1
Iron,Fe,26,55.845,7874,1811.15,3134.15,Solid,3134,3,1.83,15.7,d,8,4,[Rn]5f97s2
Cobalt,Co,27,58.9332,8900,1768.15,3200.15,Solid,3200,4,1.88,63.7,d,9,4,[Kr]4d25s2
Nickel,Ni,28,58.6934,8908,1728.15,3186.15,Solid,3186,2,1.91,112,d,10,4,[Rn]5f127s2
Copper,Cu,29,63.546,8920,1357.77,3200.15,Solid,3200,2,1.9,118.4,d,11,4,[Kr]4d55s2
